invoice_id,customer_name,customer_segment,vendor_name,invoice_amount,invoice_date,due_date,payment_date,payment_status,days_to_pay,is_late,days_overdue
INV-2026-00030,Brightline Retail,SMB,PayFlow Technologies,6611.21,2025-12-25,2026-01-24,2026-01-17,Paid,23,0,0
INV-2026-00031,Keystone Energy,Enterprise,FleetManage Co,140752.39,2025-06-05,2025-08-04,2025-08-04,Paid,60,0,0
INV-2026-00032,Acme Logistics,SMB,FleetManage Co,7513.09,2026-03-12,2026-04-11,2026-04-02,Paid,21,0,0
INV-2026-00033,Horizon Media,Mid-Market,DataPipe Solutions,10755.9,2026-01-09,2026-02-23,,Outstanding,121,1,76
INV-2026-00034,Frontier Tech,SMB,SupplyChain Pro,2164.52,2025-04-15,2025-05-15,2025-05-06,Paid,21,0,0
INV-2026-00035,Orion Aerospace,Enterprise,WorkCapital Hub,139542.52,2025-03-03,2025-05-02,2025-06-22,Late,111,1,51
INV-2026-00036,Cascade Foods,Mid-Market,FleetManage Co,24543.36,2025-06-18,2025-08-02,2025-07-28,Paid,40,0,0
INV-2026-00037,Yellowstone Mining,Enterprise,DataPipe Solutions,111055.7,2026-03-30,2026-05-29,,Outstanding,41,0,0
INV-2026-00038,Summit Financial,Enterprise,DataPipe Solutions,97444.15,2025-10-03,2025-12-02,2026-01-31,Late,120,1,60
INV-2026-00039,Horizon Media,Mid-Market,FleetManage Co,29240.63,2025-07-24,2025-09-07,2025-08-30,Paid,37,0,0
INV-2026-00040,Keystone Energy,Enterprise,NetScale Partners,126049.31,2025-01-19,2025-03-20,2025-03-14,Paid,54,0,0
INV-2026-00041,Granite Construction,Enterprise,InsightOps Ltd,151568.16,2025-04-10,2025-06-09,2025-07-01,Late,82,1,22
INV-2026-00042,Orion Aerospace,Enterprise,NetScale Partners,73101.87,2025-05-28,2025-07-27,2025-07-18,Paid,51,0,0
INV-2026-00043,Evergreen Health,Mid-Market,FleetManage Co,9619.6,2025-02-08,2025-03-25,,Outstanding,456,1,411
INV-2026-00044,Riverstone Hotels,Mid-Market,GreenLedger Systems,7135.28,2024-12-15,2025-01-29,2025-01-27,Paid,43,0,0
INV-2026-00045,Union Transport,Mid-Market,DataPipe Solutions,40000.2,2025-05-06,2025-06-20,2025-07-22,Late,77,1,32
INV-2026-00046,Westfield Properties,Mid-Market,GreenLedger Systems,27849.31,2025-03-23,2025-05-07,2025-05-08,Late,46,1,1
INV-2026-00047,Xeno Packaging,SMB,InsightOps Ltd,10134.74,2025-08-25,2025-09-24,,Outstanding,258,1,228
INV-2026-00048,Xeno Packaging,SMB,NetScale Partners,10909.72,2025-11-23,2025-12-23,2025-12-14,Paid,21,0,0
INV-2026-00049,Terra Farms,SMB,WorkCapital Hub,2306.98,2025-10-21,2025-11-20,2025-11-17,Paid,27,0,0
INV-2026-00050,Vertex Biotech,Enterprise,InsightOps Ltd,124132.31,2026-02-09,2026-04-10,2026-04-05,Paid,55,0,0
INV-2026-00051,Lumen Software,SMB,InsightOps Ltd,4916.13,2025-02-13,2025-03-15,2025-03-09,Paid,24,0,0
INV-2026-00052,Juniper Consulting,Mid-Market,SupplyChain Pro,42954.32,2025-02-22,2025-04-08,2025-04-05,Paid,42,0,0
INV-2026-00053,Ironclad Security,SMB,FleetManage Co,9809.19,2025-09-01,2025-10-01,2025-09-21,Paid,20,0,0
INV-2026-00054,Evergreen Health,Mid-Market,PayFlow Technologies,32791.93,2025-12-17,2026-01-31,2026-01-31,Paid,45,0,0
INV-2026-00055,Pinnacle Insurance,Mid-Market,WorkCapital Hub,8379.73,2025-01-06,2025-02-20,2025-04-23,Late,107,1,62
INV-2026-00056,Evergreen Health,Mid-Market,FleetManage Co,36304.96,2026-01-22,2026-03-08,2026-02-26,Paid,35,0,0
INV-2026-00057,Summit Financial,Enterprise,NetScale Partners,120505.68,2025-09-30,2025-11-29,2025-11-19,Paid,50,0,0
INV-2026-00058,Lumen Software,SMB,NetScale Partners,9355.94,2025-07-25,2025-08-24,2025-08-16,Paid,22,0,0
INV-2026-00059,Delta Manufacturing,Enterprise,InsightOps Ltd,43151.05,2026-04-02,2026-06-01,,Outstanding,38,0,0
INV-2026-00060,Xeno Packaging,SMB,FleetManage Co,4536.74,2026-01-08,2026-02-07,2026-02-03,Paid,26,0,0
INV-2026-00061,Terra Farms,SMB,InsightOps Ltd,2565.25,2025-05-31,2025-06-30,2025-06-26,Paid,26,0,0
INV-2026-00062,Summit Financial,Enterprise,InsightOps Ltd,110713.93,2025-06-10,2025-08-09,2025-08-05,Paid,56,0,0
INV-2026-00063,Delta Manufacturing,Enterprise,DataPipe Solutions,43364.18,2024-11-18,2025-01-17,2025-01-14,Paid,57,0,0
INV-2026-00064,Delta Manufacturing,Enterprise,InsightOps Ltd,26906.92,2025-08-01,2025-09-30,2025-09-26,Paid,56,0,0
INV-2026-00065,Horizon Media,Mid-Market,NetScale Partners,17077.1,2026-04-22,2026-06-06,,Outstanding,18,0,0
INV-2026-00066,Cascade Foods,Mid-Market,PayFlow Technologies,38475.86,2026-05-08,2026-06-22,,Outstanding,2,0,0
INV-2026-00067,Delta Manufacturing,Enterprise,FleetManage Co,164040.18,2025-11-02,2026-01-01,,Outstanding,189,1,129
INV-2026-00068,Granite Construction,Enterprise,CloudServe Inc,166148.93,2025-02-01,2025-04-02,2025-04-03,Late,61,1,1
INV-2026-00069,Delta Manufacturing,Enterprise,CloudServe Inc,149229.68,2024-12-13,2025-02-11,2025-02-03,Paid,52,0,0
INV-2026-00070,Quantum Analytics,SMB,SupplyChain Pro,10185.38,2025-01-19,2025-02-18,,Outstanding,476,1,446
INV-2026-00071,Lumen Software,SMB,TradeLedger Finance,6450.75,2025-03-04,2025-04-03,2025-03-24,Paid,20,0,0
INV-2026-00072,Lumen Software,SMB,WorkCapital Hub,2962.06,2025-02-07,2025-03-09,2025-03-04,Paid,25,0,0
INV-2026-00073,Summit Financial,Enterprise,FleetManage Co,120527.89,2025-10-12,2025-12-11,,Outstanding,210,1,150
INV-2026-00074,Westfield Properties,Mid-Market,NetScale Partners,8668.84,2025-07-21,2025-09-04,2025-09-01,Paid,42,0,0
INV-2026-00075,Lumen Software,SMB,NetScale Partners,7211.03,2025-09-05,2025-10-05,2025-10-03,Paid,28,0,0
INV-2026-00076,Horizon Media,Mid-Market,InsightOps Ltd,30969.33,2025-06-29,2025-08-13,2025-08-09,Paid,41,0,0
INV-2026-00077,Meridian Pharma,Enterprise,CloudServe Inc,43478.72,2025-11-24,2026-01-23,2026-01-17,Paid,54,0,0
INV-2026-00078,Horizon Media,Mid-Market,TradeLedger Finance,30385.16,2025-10-13,2025-11-27,2025-11-21,Paid,39,0,0
INV-2026-00079,Frontier Tech,SMB,DataPipe Solutions,1203.87,2026-04-12,2026-05-12,2026-05-08,Paid,26,0,0
INV-2026-00080,Frontier Tech,SMB,PayFlow Technologies,8662.42,2025-01-06,2025-02-05,2025-02-01,Paid,26,0,0
INV-2026-00081,Horizon Media,Mid-Market,WorkCapital Hub,22256.73,2025-03-28,2025-05-12,2025-05-10,Paid,43,0,0
INV-2026-00082,Meridian Pharma,Enterprise,GreenLedger Systems,103063.1,2025-12-18,2026-02-16,2026-02-08,Paid,52,0,0
INV-2026-00083,Meridian Pharma,Enterprise,TradeLedger Finance,42957.79,2026-02-11,2026-04-12,,Outstanding,88,1,28
INV-2026-00084,Vertex Biotech,Enterprise,CloudServe Inc,76790.16,2026-02-02,2026-04-03,2026-03-24,Paid,50,0,0
INV-2026-00085,Summit Financial,Enterprise,FleetManage Co,157764.94,2026-03-18,2026-05-17,2026-05-07,Paid,50,0,0
INV-2026-00086,Pinnacle Insurance,Mid-Market,InsightOps Ltd,43337.17,2025-11-11,2025-12-26,2025-12-17,Paid,36,0,0
INV-2026-00087,Horizon Media,Mid-Market,PayFlow Technologies,20513.67,2026-01-06,2026-02-20,2026-04-06,Late,90,1,45
INV-2026-00088,Frontier Tech,SMB,WorkCapital Hub,2658.16,2025-12-29,2026-01-28,2026-01-23,Paid,25,0,0
INV-2026-00089,Northstar Wholesale,Mid-Market,SupplyChain Pro,22929.82,2026-02-12,2026-03-29,,Outstanding,87,1,42
INV-2026-00090,Brightline Retail,SMB,CloudServe Inc,2487.54,2025-07-08,2025-08-07,2025-08-07,Paid,30,0,0
INV-2026-00091,Pinnacle Insurance,Mid-Market,CloudServe Inc,24607.9,2025-03-21,2025-05-05,2025-04-25,Paid,35,0,0
INV-2026-00092,Granite Construction,Enterprise,SupplyChain Pro,128881.5,2026-02-20,2026-04-21,,Outstanding,79,1,19
INV-2026-00093,Juniper Consulting,Mid-Market,PayFlow Technologies,38779.15,2025-12-22,2026-02-05,2026-01-31,Paid,40,0,0
INV-2026-00094,Vertex Biotech,Enterprise,NetScale Partners,156792.52,2025-08-15,2025-10-14,2025-10-13,Paid,59,0,0
INV-2026-00095,Meridian Pharma,Enterprise,GreenLedger Systems,167187.34,2025-01-11,2025-03-12,2025-03-02,Paid,50,0,0
INV-2026-00096,Horizon Media,Mid-Market,NetScale Partners,42098.42,2025-02-27,2025-04-13,2025-04-04,Paid,36,0,0
INV-2026-00097,Orion Aerospace,Enterprise,PayFlow Technologies,133970.19,2024-11-19,2025-01-18,2025-01-16,Paid,58,0,0
INV-2026-00098,Vertex Biotech,Enterprise,CloudServe Inc,174297.74,2025-11-02,2026-01-01,2025-12-31,Paid,59,0,0
INV-2026-00099,Cascade Foods,Mid-Market,DataPipe Solutions,27124.15,2025-08-16,2025-09-30,2025-09-28,Paid,43,0,0
INV-2026-00100,Yellowstone Mining,Enterprise,FleetManage Co,141247.45,2025-02-07,2025-04-08,2025-05-04,Late,86,1,26
INV-2026-00101,Brightline Retail,SMB,FleetManage Co,11838.05,2025-08-17,2025-09-16,2025-09-14,Paid,28,0,0
INV-2026-00102,Keystone Energy,Enterprise,InsightOps Ltd,111096.57,2024-12-25,2025-02-23,2025-02-21,Paid,58,0,0
INV-2026-00103,Union Transport,Mid-Market,SupplyChain Pro,6947.94,2025-03-24,2025-05-08,2025-04-28,Paid,35,0,0
INV-2026-00104,Riverstone Hotels,Mid-Market,WorkCapital Hub,34577.26,2025-11-05,2025-12-20,2026-02-08,Late,95,1,50
INV-2026-00105,Frontier Tech,SMB,InsightOps Ltd,6563.85,2025-10-17,2025-11-16,2025-12-20,Late,64,1,34
INV-2026-00106,Riverstone Hotels,Mid-Market,TradeLedger Finance,14506.33,2026-03-14,2026-04-28,2026-04-26,Paid,43,0,0
INV-2026-00107,Westfield Properties,Mid-Market,DataPipe Solutions,20877.6,2025-04-26,2025-06-10,2025-06-09,Paid,44,0,0
INV-2026-00108,Quantum Analytics,SMB,FleetManage Co,8837.56,2024-12-31,2025-01-30,2025-01-27,Paid,27,0,0
INV-2026-00109,Terra Farms,SMB,NetScale Partners,7238.57,2025-06-24,2025-07-24,2025-07-22,Paid,28,0,0
INV-2026-00110,Brightline Retail,SMB,InsightOps Ltd,4892.24,2025-03-14,2025-04-13,,Outstanding,422,1,392
INV-2026-00111,Ironclad Security,SMB,InsightOps Ltd,5876.74,2025-03-05,2025-04-04,2025-04-24,Late,50,1,20
INV-2026-00112,Westfield Properties,Mid-Market,FleetManage Co,26634.27,2026-04-17,2026-06-01,,Outstanding,23,0,0
INV-2026-00113,Orion Aerospace,Enterprise,TradeLedger Finance,116565.44,2025-04-30,2025-06-29,2025-06-24,Paid,55,0,0
INV-2026-00114,Granite Construction,Enterprise,FleetManage Co,160518.73,2025-04-26,2025-06-25,2025-06-18,Paid,53,0,0
INV-2026-00115,Terra Farms,SMB,FleetManage Co,6134.08,2025-09-27,2025-10-27,2025-10-25,Paid,28,0,0
INV-2026-00116,Union Transport,Mid-Market,InsightOps Ltd,12407.17,2025-11-13,2025-12-28,2026-02-24,Late,103,1,58
INV-2026-00117,Quantum Analytics,SMB,WorkCapital Hub,5649.29,2025-05-07,2025-06-06,,Outstanding,368,1,338
INV-2026-00118,Xeno Packaging,SMB,InsightOps Ltd,1260.09,2026-04-18,2026-05-18,,Outstanding,22,0,0
INV-2026-00119,Granite Construction,Enterprise,CloudServe Inc,32898.87,2025-08-21,2025-10-20,2025-10-18,Paid,58,0,0
INV-2026-00120,Westfield Properties,Mid-Market,CloudServe Inc,17082.86,2025-11-28,2026-01-12,2026-01-03,Paid,36,0,0
INV-2026-00121,Horizon Media,Mid-Market,NetScale Partners,24580.08,2025-02-11,2025-03-28,2025-03-18,Paid,35,0,0
INV-2026-00122,Terra Farms,SMB,TradeLedger Finance,4411.89,2025-07-26,2025-08-25,2025-08-24,Paid,29,0,0
INV-2026-00123,Riverstone Hotels,Mid-Market,FleetManage Co,42215.38,2025-05-15,2025-06-29,,Outstanding,360,1,315
INV-2026-00124,Meridian Pharma,Enterprise,GreenLedger Systems,48320.37,2025-07-22,2025-09-20,,Outstanding,292,1,232
INV-2026-00125,Delta Manufacturing,Enterprise,WorkCapital Hub,54189.91,2024-11-27,2025-01-26,,Outstanding,529,1,469
INV-2026-00126,Delta Manufacturing,Enterprise,TradeLedger Finance,62454.03,2025-01-14,2025-03-15,2025-03-12,Paid,57,0,0
INV-2026-00127,Meridian Pharma,Enterprise,TradeLedger Finance,120963.46,2024-11-18,2025-01-17,2025-01-17,Paid,60,0,0
INV-2026-00128,Horizon Media,Mid-Market,DataPipe Solutions,44385.98,2025-09-12,2025-10-27,2025-10-21,Paid,39,0,0
INV-2026-00129,Horizon Media,Mid-Market,TradeLedger Finance,13654.23,2025-09-08,2025-10-23,2025-10-21,Paid,43,0,0
INV-2026-00130,Brightline Retail,SMB,CloudServe Inc,1013.18,2026-02-24,2026-03-26,,Outstanding,75,1,45
INV-2026-00131,Quantum Analytics,SMB,NetScale Partners,9072.1,2025-12-12,2026-01-11,2026-01-02,Paid,21,0,0
INV-2026-00132,Frontier Tech,SMB,WorkCapital Hub,8562.67,2025-01-23,2025-02-22,2025-02-13,Paid,21,0,0
INV-2026-00133,Granite Construction,Enterprise,TradeLedger Finance,178928.11,2024-11-18,2025-01-17,2025-03-09,Late,111,1,51
INV-2026-00134,Cascade Foods,Mid-Market,NetScale Partners,29871.68,2026-03-06,2026-04-20,,Outstanding,65,1,20
INV-2026-00135,Delta Manufacturing,Enterprise,CloudServe Inc,154618.0,2025-04-24,2025-06-23,,Outstanding,381,1,321
INV-2026-00136,Orion Aerospace,Enterprise,PayFlow Technologies,119669.37,2025-03-20,2025-05-19,2025-05-17,Paid,58,0,0
INV-2026-00137,Northstar Wholesale,Mid-Market,NetScale Partners,35336.89,2025-12-12,2026-01-26,2026-01-26,Paid,45,0,0
INV-2026-00138,Xeno Packaging,SMB,TradeLedger Finance,6626.58,2024-11-22,2024-12-22,2025-01-25,Late,64,1,34
INV-2026-00139,Quantum Analytics,SMB,DataPipe Solutions,2472.99,2025-06-17,2025-07-17,2025-08-17,Late,61,1,31
INV-2026-00140,Westfield Properties,Mid-Market,InsightOps Ltd,34339.8,2025-03-27,2025-05-11,2025-05-03,Paid,37,0,0
INV-2026-00141,Meridian Pharma,Enterprise,SupplyChain Pro,146358.82,2025-01-02,2025-03-03,2025-05-09,Late,127,1,67
INV-2026-00142,Westfield Properties,Mid-Market,InsightOps Ltd,8994.5,2025-11-28,2026-01-12,2026-01-11,Paid,44,0,0
INV-2026-00143,Acme Logistics,SMB,PayFlow Technologies,8856.3,2025-03-09,2025-04-08,2025-04-08,Paid,30,0,0
INV-2026-00144,Horizon Media,Mid-Market,NetScale Partners,21365.6,2025-05-22,2025-07-06,2025-07-02,Paid,41,0,0
INV-2026-00145,Lumen Software,SMB,GreenLedger Systems,5214.0,2024-12-22,2025-01-21,2025-01-30,Late,39,1,9
INV-2026-00146,Riverstone Hotels,Mid-Market,NetScale Partners,14743.87,2024-12-11,2025-01-25,2025-01-18,Paid,38,0,0
INV-2026-00147,Westfield Properties,Mid-Market,InsightOps Ltd,12430.65,2025-05-20,2025-07-04,2025-06-27,Paid,38,0,0
INV-2026-00148,Granite Construction,Enterprise,TradeLedger Finance,173696.51,2025-01-24,2025-03-25,2025-03-15,Paid,50,0,0
INV-2026-00149,Cascade Foods,Mid-Market,DataPipe Solutions,35592.14,2025-03-22,2025-05-06,2025-04-28,Paid,37,0,0
INV-2026-00150,Yellowstone Mining,Enterprise,CloudServe Inc,46358.0,2026-04-30,2026-06-29,,Outstanding,10,0,0
INV-2026-00151,Union Transport,Mid-Market,CloudServe Inc,26694.58,2026-02-15,2026-04-01,,Outstanding,84,1,39
INV-2026-00152,Granite Construction,Enterprise,InsightOps Ltd,138945.06,2025-02-10,2025-04-11,2025-04-10,Paid,59,0,0
INV-2026-00153,Cascade Foods,Mid-Market,TradeLedger Finance,13272.54,2025-12-31,2026-02-14,2026-02-06,Paid,37,0,0
INV-2026-00154,Summit Financial,Enterprise,InsightOps Ltd,156204.17,2025-01-09,2025-03-10,2025-02-28,Paid,50,0,0
INV-2026-00155,Evergreen Health,Mid-Market,NetScale Partners,39053.39,2025-03-28,2025-05-12,2025-05-07,Paid,40,0,0
INV-2026-00156,Riverstone Hotels,Mid-Market,SupplyChain Pro,11450.16,2025-03-30,2025-05-14,2025-05-04,Paid,35,0,0
INV-2026-00157,Ironclad Security,SMB,DataPipe Solutions,6733.15,2025-08-22,2025-09-21,2025-09-14,Paid,23,0,0
INV-2026-00158,Ironclad Security,SMB,CloudServe Inc,7009.47,2025-08-03,2025-09-02,2025-10-11,Late,69,1,39
INV-2026-00159,Juniper Consulting,Mid-Market,PayFlow Technologies,23600.57,2024-11-16,2024-12-31,2024-12-24,Paid,38,0,0
INV-2026-00160,Evergreen Health,Mid-Market,GreenLedger Systems,23750.37,2026-05-03,2026-06-17,,Outstanding,7,0,0
INV-2026-00161,Northstar Wholesale,Mid-Market,SupplyChain Pro,36778.28,2024-12-13,2025-01-27,2025-01-24,Paid,42,0,0
INV-2026-00162,Union Transport,Mid-Market,TradeLedger Finance,5092.35,2025-08-29,2025-10-13,2025-11-11,Late,74,1,29
INV-2026-00163,Brightline Retail,SMB,DataPipe Solutions,2506.06,2025-06-18,2025-07-18,2025-07-13,Paid,25,0,0
INV-2026-00164,Xeno Packaging,SMB,CloudServe Inc,5964.31,2025-10-31,2025-11-30,2025-11-23,Paid,23,0,0
INV-2026-00165,Lumen Software,SMB,NetScale Partners,2785.04,2025-10-13,2025-11-12,2025-11-12,Paid,30,0,0
INV-2026-00167,Juniper Consulting,Mid-Market,SupplyChain Pro,27472.76,2025-12-17,2026-01-31,2026-01-29,Paid,43,0,0
INV-2026-00168,Westfield Properties,Mid-Market,FleetManage Co,18694.5,2025-05-13,2025-06-27,2025-06-21,Paid,39,0,0
INV-2026-00169,Delta Manufacturing,Enterprise,TradeLedger Finance,126605.25,2026-02-05,2026-04-06,2026-04-15,Late,69,1,9
INV-2026-00170,Ironclad Security,SMB,DataPipe Solutions,10439.06,2026-01-24,2026-02-23,2026-02-15,Paid,22,0,0
INV-2026-00171,Delta Manufacturing,Enterprise,SupplyChain Pro,68945.72,2026-03-01,2026-04-30,2026-04-23,Paid,53,0,0
INV-2026-00172,Frontier Tech,SMB,GreenLedger Systems,11472.73,2026-04-18,2026-05-18,,Outstanding,22,0,0
INV-2026-00173,Pinnacle Insurance,Mid-Market,NetScale Partners,20987.05,2024-12-20,2025-02-03,2025-02-24,Late,66,1,21
INV-2026-00174,Keystone Energy,Enterprise,GreenLedger Systems,93811.15,2025-11-29,2026-01-28,2026-01-27,Paid,59,0,0
INV-2026-00175,Ironclad Security,SMB,InsightOps Ltd,7880.67,2026-02-21,2026-03-23,2026-04-16,Late,54,1,24
INV-2026-00176,Westfield Properties,Mid-Market,FleetManage Co,44128.18,2026-04-15,2026-05-30,,Outstanding,25,0,0
INV-2026-00177,Terra Farms,SMB,GreenLedger Systems,3490.53,2025-01-11,2025-02-10,2025-02-05,Paid,25,0,0
INV-2026-00178,Granite Construction,Enterprise,NetScale Partners,58922.77,2025-07-23,2025-09-21,2025-09-17,Paid,56,0,0
INV-2026-00179,Evergreen Health,Mid-Market,PayFlow Technologies,36900.43,2025-06-01,2025-07-16,2025-07-06,Paid,35,0,0
INV-2026-00180,Terra Farms,SMB,CloudServe Inc,11984.43,2025-10-08,2025-11-07,2025-11-13,Late,36,1,6
INV-2026-00181,Keystone Energy,Enterprise,FleetManage Co,147564.39,2025-10-23,2025-12-22,2025-12-12,Paid,50,0,0
INV-2026-00182,Quantum Analytics,SMB,PayFlow Technologies,5543.15,2025-01-15,2025-02-14,2025-02-07,Paid,23,0,0
INV-2026-00183,Terra Farms,SMB,GreenLedger Systems,1866.23,2024-11-28,2024-12-28,2024-12-28,Paid,30,0,0
INV-2026-00184,Horizon Media,Mid-Market,GreenLedger Systems,7056.77,2025-04-25,2025-06-09,2025-06-04,Paid,40,0,0
INV-2026-00185,Terra Farms,SMB,SupplyChain Pro,5466.66,2025-11-18,2025-12-18,2025-12-17,Paid,29,0,0
INV-2026-00186,Union Transport,Mid-Market,NetScale Partners,40162.75,2025-08-08,2025-09-22,2025-10-12,Late,65,1,20
INV-2026-00187,Horizon Media,Mid-Market,CloudServe Inc,5020.75,2024-12-22,2025-02-05,2025-01-27,Paid,36,0,0
INV-2026-00188,Ironclad Security,SMB,TradeLedger Finance,2681.61,2025-11-03,2025-12-03,2025-11-25,Paid,22,0,0
INV-2026-00189,Northstar Wholesale,Mid-Market,FleetManage Co,8710.24,2025-09-03,2025-10-18,2025-10-14,Paid,41,0,0
INV-2026-00190,Ironclad Security,SMB,FleetManage Co,9202.98,2025-12-27,2026-01-26,2026-02-14,Late,49,1,19
INV-2026-00191,Pinnacle Insurance,Mid-Market,DataPipe Solutions,9756.41,2025-03-08,2025-04-22,2025-04-13,Paid,36,0,0
INV-2026-00192,Brightline Retail,SMB,InsightOps Ltd,11892.35,2026-02-03,2026-03-05,2026-02-24,Paid,21,0,0
INV-2026-00193,Westfield Properties,Mid-Market,WorkCapital Hub,12692.03,2026-04-14,2026-05-29,,Outstanding,26,0,0
INV-2026-00194,Horizon Media,Mid-Market,InsightOps Ltd,27036.35,2025-04-01,2025-05-16,2025-05-14,Paid,43,0,0
INV-2026-00195,Acme Logistics,SMB,FleetManage Co,6245.35,2025-08-29,2025-09-28,2025-09-18,Paid,20,0,0
INV-2026-00196,Summit Financial,Enterprise,DataPipe Solutions,84732.27,2025-01-11,2025-03-12,2025-03-11,Paid,59,0,0
INV-2026-00197,Horizon Media,Mid-Market,NetScale Partners,7643.17,2025-07-17,2025-08-31,,Outstanding,297,1,252
INV-2026-00198,Acme Logistics,SMB,TradeLedger Finance,10770.96,2026-01-07,2026-02-06,2026-02-03,Paid,27,0,0
INV-2026-00199,Xeno Packaging,SMB,CloudServe Inc,7360.64,2025-07-30,2025-08-29,2025-08-19,Paid,20,0,0
INV-2026-00200,Frontier Tech,SMB,CloudServe Inc,5534.62,2026-03-12,2026-04-11,,Outstanding,59,1,29
INV-2026-00201,Brightline Retail,SMB,WorkCapital Hub,1419.03,2025-02-21,2025-03-23,2025-04-07,Late,45,1,15
INV-2026-00202,Pinnacle Insurance,Mid-Market,DataPipe Solutions,9613.06,2025-11-28,2026-01-12,2026-01-19,Late,52,1,7
INV-2026-00203,Vertex Biotech,Enterprise,FleetManage Co,106539.38,2026-04-19,2026-06-18,,Outstanding,21,0,0
INV-2026-00204,Keystone Energy,Enterprise,TradeLedger Finance,114413.45,2024-12-19,2025-02-17,2025-03-18,Late,89,1,29
INV-2026-00205,Yellowstone Mining,Enterprise,SupplyChain Pro,175487.13,2025-05-11,2025-07-10,2025-07-05,Paid,55,0,0
INV-2026-00206,Orion Aerospace,Enterprise,CloudServe Inc,54947.29,2025-07-27,2025-09-25,2025-09-16,Paid,51,0,0
